TimeStamp,CPI,CMR
1418433175.000,2.814,0.217
1418433176.000,2.774,0.218
1418433177.000,3.125,0.157
1418433178.000,2.958,0.186
1418433179.000,2.731,0.231
1418433180.000,2.787,0.228
1418433181.000,2.818,0.237
1418433182.000,2.874,0.238
1418433183.000,2.857,0.240
1418433184.000,2.881,0.229
1418433185.000,2.891,0.241
1418433186.000,2.933,0.227
1418433187.000,2.938,0.234
1418433188.000,3.419,0.141
1418433189.000,3.545,0.132
1418433190.000,3.153,0.194
1418433191.000,3.034,0.213
1418433192.000,3.266,0.161
1418433193.000,3.167,0.190
1418433194.000,2.999,0.213
1418433195.000,2.839,0.255
1418433196.000,2.880,0.246
1418433197.000,2.884,0.243
1418433198.000,2.863,0.239
1418433199.000,2.858,0.237
1418433200.000,2.902,0.244
1418433201.000,3.050,0.207
1418433202.000,3.322,0.151
1418433203.000,3.386,0.139
1418433204.000,2.923,0.239
1418433205.000,2.980,0.236
1418433206.000,2.837,0.259
1418433207.000,2.853,0.254
1418433208.000,2.930,0.247
1418433209.000,2.895,0.242
1418433210.000,2.859,0.241
1418433211.000,2.836,0.238
1418433212.000,2.905,0.221
1418433213.000,2.882,0.233
1418433214.000,2.875,0.233
1418433215.000,2.876,0.232
1418433216.000,3.308,0.149
1418433217.000,3.274,0.148
1418433218.000,3.193,0.169
1418433219.000,3.146,0.188
1418433220.000,3.021,0.209
1418433221.000,2.906,0.249
1418433222.000,2.887,0.252
1418433223.000,2.863,0.258
1418433224.000,2.937,0.249
1418433225.000,2.953,0.241
1418433226.000,2.999,0.235
1418433227.000,2.924,0.239
1418433228.000,2.879,0.247
1418433229.000,2.743,0.263
1418433230.000,2.893,0.247
1418433231.000,2.894,0.247
1418433232.000,2.884,0.247
1418433233.000,2.911,0.246
1418433234.000,2.891,0.250
1418433235.000,2.873,0.250
1418433236.000,2.937,0.227
1418433237.000,3.060,0.204
1418433238.000,3.309,0.171
1418433239.000,3.457,0.143
1418433240.000,3.100,0.197
1418433241.000,3.061,0.200
1418433242.000,3.581,0.127
1418433243.000,3.273,0.151
1418433244.000,3.550,0.131
1418433245.000,3.532,0.136
1418433246.000,3.268,0.182
1418433247.000,2.957,0.258
1418433248.000,2.920,0.261
1418433249.000,2.973,0.254
1418433250.000,2.871,0.258
1418433251.000,2.912,0.249
1418433252.000,2.818,0.246
1418433253.000,2.995,0.204
1418433254.000,3.162,0.181
1418433255.000,2.897,0.220
1418433256.000,3.196,0.168
1418433257.000,3.443,0.135
1418433258.000,2.925,0.204
1418433259.000,3.261,0.150
1418433260.000,2.913,0.210
1418433261.000,3.024,0.202
1418433262.000,3.371,0.140
1418433263.000,3.105,0.154
1418433264.000,2.790,0.221
1418433265.000,2.761,0.222
1418433266.000,2.698,0.227
1418433267.000,2.817,0.200
1418433268.000,3.422,0.129
1418433269.000,3.250,0.142
1418433270.000,3.377,0.124
1418433271.000,3.331,0.126
1418433272.000,3.030,0.178
1418433273.000,2.793,0.218
1418433274.000,2.738,0.236
1418433275.000,2.756,0.231
1418433276.000,2.783,0.226
1418433277.000,2.788,0.220
1418433278.000,2.828,0.209
1418433279.000,2.787,0.223
1418433280.000,2.873,0.196
1418433281.000,2.749,0.200
1418433282.000,1.698,0.058
1418433283.000,1.828,0.051
1418433284.000,1.705,0.058
1418433285.000,1.766,0.041
1418433286.000,1.676,0.044
1418433287.000,1.700,0.053
1418433288.000,1.746,0.044
1418433289.000,1.793,0.056
1418433290.000,1.978,0.041
1418433291.000,1.766,0.051
1418433292.000,1.751,0.049
1418433293.000,1.957,0.042
1418433294.000,1.748,0.054
1418433295.000,1.705,0.047
1418433296.000,1.969,0.038
1418433297.000,1.829,0.046
